PublicID,Name,Email Address,Recruitment Policy,Group,Version,Checkpoint,Current Node,Status,Included,Activated
heocrl35,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
lveqwnyx,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
aleh8ivt,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
9twg3adz,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
k3s70ta3,,,Simple Link,,16,,task-ldr9,Rejected (Time Limit),FALSE,14/05/2022
3t5ytpb9,,,Simple Link,,16,,task-o6l9,Rejected (Time Limit),TRUE,14/05/2022
bz1tc2rk,,,Simple Link,,16,,task-o6l9,Rejected (Time Limit),TRUE,14/05/2022
0qtttmpj,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
2upt1pdj,,,Simple Link,,16,,task-ldr9,Rejected (Time Limit),FALSE,14/05/2022
s365r0ci,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
4cv0ozd4,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
ssdlqn4x,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
4vi02r2n,,,Simple Link,,16,,task-ldr9,Rejected (Time Limit),FALSE,14/05/2022
4rl8snjp,,,Simple Link,,16,,task-ldr9,Rejected (Time Limit),FALSE,14/05/2022
wfldy68k,,,Simple Link,,16,,questionnaire-f6gl,Rejected (Time Limit),TRUE,14/05/2022
dee1wjrv,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
gf0asde4,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
k6d6yn9a,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
wa6v7s6g,,,Simple Link,,16,,questionnaire-f6gl,Rejected (Time Limit),TRUE,14/05/2022
bhkjb4d1,,,Simple Link,,16,,questionnaire-ke87,Rejected (Time Limit),FALSE,14/05/2022
cc4yxskk,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
qao676oh,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
bhz78iqj,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
xcuz37e3,,,Simple Link,,16,,task-ldr9,Rejected (Time Limit),FALSE,14/05/2022
27deprgd,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
rl24ahjs,,,Simple Link,,16,,questionnaire-vj1x,Rejected (Time Limit),FALSE,14/05/2022
lxqt9kfm,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
dkqeb9gj,,,Simple Link,,16,,task-ldr9,Rejected (Time Limit),FALSE,14/05/2022
dfcqchi2,,,Simple Link,,16,,,Rejected (Time Limit),TRUE,14/05/2022
meml9zig,,,Simple Link,,16,,questionnaire-f6gl,Rejected (Time Limit),TRUE,14/05/2022
91ozfzu0,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
wvcru9hn,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
6rgyyl8a,,,Simple Link,,16,,questionnaire-gh7i,Rejected (Time Limit),TRUE,14/05/2022
2jpw69mp,,,Simple Link,,16,,task-ldr9,Rejected (Time Limit),FALSE,14/05/2022
280fg8tz,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
tgho7g1p,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
pmmvpbdq,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
64wumtzh,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
tla7p44i,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
3nl1b2p1,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
5v6cx27y,,,Simple Link,,16,,task-ldr9,Rejected (Time Limit),FALSE,14/05/2022
610nfa49,,,Simple Link,,16,,task-ldr9,Rejected (Time Limit),FALSE,14/05/2022
4ig77jr3,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
2nlx2dn6,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
qfc04ynh,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
jt5vrxwo,,,Simple Link,,16,,questionnaire-vj1x,Rejected (Time Limit),FALSE,14/05/2022
juux3kop,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
lsduvfem,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
pdws0yr5,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
g8swan6t,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
x63w3zfc,,,Simple Link,,16,,questionnaire-vj1x,Rejected (Time Limit),FALSE,14/05/2022
0lcaqbpe,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
6j39avf5,,,Simple Link,,16,,task-o6l9,Rejected (Time Limit),TRUE,14/05/2022
9qthexif,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
bt2darz7,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
h5cqotxk,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
9m68hamn,,,Simple Link,,16,,questionnaire-f6gl,Rejected (Time Limit),TRUE,14/05/2022
6qfviz8a,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
an6gm4b0,,,Simple Link,,16,,task-ldr9,Rejected (Time Limit),FALSE,14/05/2022
alb6m4f1,,,Simple Link,,16,,task-o6l9,Rejected (Time Limit),TRUE,14/05/2022
l94484js,,,Simple Link,,16,,questionnaire-vj1x,Rejected (Time Limit),FALSE,14/05/2022
b5qjfh78,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
am0xs6kl,,,Simple Link,,16,,task-ldr9,Rejected (Time Limit),FALSE,14/05/2022
cc8dx9aw,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
zomv2hj0,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
p2nkxy5m,,,Simple Link,,16,,questionnaire-ke87,Rejected (Time Limit),FALSE,14/05/2022
zu8rbk9o,,,Simple Link,,16,,task-ldr9,Rejected (Time Limit),FALSE,14/05/2022
ep9myp9r,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
w854kvpw,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
thp9u5w1,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
zhc7wg6b,,,Simple Link,,16,,task-ldr9,Rejected (Time Limit),FALSE,14/05/2022
1w5df474,,,Simple Link,,16,,questionnaire-ke87,Rejected (Time Limit),FALSE,14/05/2022
zs5zivqq,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
imzhfk76,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
8w1lcpbe,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
o6f200p6,,,Simple Link,,16,,questionnaire-ke87,Rejected (Time Limit),FALSE,14/05/2022
njpk51ry,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
jpn2fjm0,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
2my3payf,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
tq3kda8g,,,Simple Link,,16,,task-ldr9,Rejected (Time Limit),FALSE,14/05/2022
89ctld0n,,,Simple Link,,16,,questionnaire-vj1x,Rejected (Time Limit),FALSE,14/05/2022
pfm43ktq,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
57q4hyuf,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
4kyg3m1o,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
5jki4w75,,,Simple Link,,16,,task-ldr9,Rejected (Time Limit),FALSE,14/05/2022
roxtgnqy,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
atk60eie,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
l3xhntja,,,Simple Link,,16,,task-o6l9,Rejected (Time Limit),TRUE,14/05/2022
4bmdfj41,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
a3vdct2p,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
srt04lem,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
xyujks9y,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
h4xjqxxv,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
rr3yt1i2,,,Simple Link,,16,,task-ldr9,Rejected (Time Limit),FALSE,14/05/2022
8ko5eo1b,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
jqr39a7s,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
5lz4icpd,,,Simple Link,,16,,task-ldr9,Rejected (Time Limit),FALSE,14/05/2022
9g9qnfcs,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
vfjzpinj,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
hq9k39w6,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
lidvcs3o,,,Simple Link,,16,,questionnaire-vj1x,Rejected (Time Limit),FALSE,15/05/2022
u9w7ai4p,,,Simple Link,,16,,,Complete,TRUE,15/05/2022
cpj0mefr,,,Simple Link,,16,,,Complete,TRUE,15/05/2022
m8bg62hl,,,Simple Link,,16,,questionnaire-gh7i,Rejected (Time Limit),TRUE,15/05/2022
uwih82v3,,,Simple Link,,16,,questionnaire-f6gl,Rejected (Time Limit),TRUE,15/05/2022
v8y8he5f,,,Simple Link,,16,,,Complete,TRUE,15/05/2022
lq2wfdiy,,,Simple Link,,16,,,Complete,TRUE,15/05/2022
4q4dbl6r,,,Simple Link,,16,,,Complete,TRUE,15/05/2022
noceifvo,,,Simple Link,,16,,,Complete,TRUE,15/05/2022
u05sdp1j,,,Simple Link,,16,,,Complete,TRUE,15/05/2022
u4wjfxtx,,,Simple Link,,16,,,Complete,TRUE,15/05/2022
1ljbxh80,,,Simple Link,,16,,,Complete,TRUE,16/05/2022
ir9qocmk,,,Simple Link,,16,,,Complete,TRUE,16/05/2022
pgews9vl,,,Simple Link,,16,,questionnaire-f6gl,Rejected (Time Limit),TRUE,17/05/2022
j8atedxw,,,Simple Link,,16,,questionnaire-ke87,Rejected (Time Limit),FALSE,17/05/2022
qq20p8f3,,,Simple Link,,16,,task-ldr9,Rejected (Time Limit),FALSE,18/05/2022
waqthlyl,,,Simple Link,,16,,questionnaire-ke87,Rejected (Time Limit),FALSE,18/05/2022
sxbmbqff,,,Simple Link,,16,,task-ldr9,Rejected (Time Limit),FALSE,18/05/2022
b8uny9w4,,,Simple Link,,16,,,Complete,TRUE,18/05/2022
yzax3pqa,,,Simple Link,,16,,,Complete,TRUE,19/05/2022
9npulgpp,,,Simple Link,,16,,questionnaire-ke87,Rejected (Time Limit),FALSE,19/05/2022
1w5c1fmq,,,Simple Link,,16,,questionnaire-ke87,Rejected (Time Limit),FALSE,19/05/2022
nejaqhmq,,,Simple Link,,16,,,Complete,TRUE,19/05/2022
vhdluo65,,,Simple Link,,16,,questionnaire-f6gl,Rejected (Time Limit),TRUE,19/05/2022
mnfe4ozb,,,Simple Link,,16,,,Complete,TRUE,19/05/2022
pwp718mx,,,Simple Link,,16,,,Complete,TRUE,20/05/2022
wezm3i7t,,,Simple Link,,16,,task-ldr9,Rejected (Time Limit),FALSE,21/05/2022
2kug3ix7,,,Simple Link,,16,,,Complete,TRUE,21/05/2022
8n51ruqz,,,Simple Link,,16,,,Complete,TRUE,21/05/2022
3llvalrt,,,Simple Link,,16,,,Complete,TRUE,21/05/2022
3wf6v6cy,,,Simple Link,,16,,questionnaire-f6gl,Rejected (Time Limit),TRUE,21/05/2022
sno7cunj,,,Simple Link,,16,,,Complete,TRUE,22/05/2022
q2nydyzb,,,Simple Link,,16,,questionnaire-ke87,Rejected (Time Limit),FALSE,23/05/2022
h7inteib,,,Simple Link,,16,,,Complete,TRUE,23/05/2022
ucnkbwoe,,,Simple Link,,16,,task-ldr9,Rejected (Time Limit),FALSE,23/05/2022
6vawg1rm,,,Simple Link,,16,,task-hyo2,Rejected (Time Limit),TRUE,31/05/2022
no9h03f0,,,Simple Link,,16,,,Complete,TRUE,31/05/2022
afkacmwg,,,Simple Link,,16,,,Complete,TRUE,01/06/2022
vi06k5zc,,,Simple Link,,16,,,Complete,TRUE,17/06/2022
8dy9v4ae,,,Simple Link,,17,,questionnaire-ke87,Rejected (Time Limit),FALSE,27/06/2022
ql89orll,,,Simple Link,,17,,questionnaire-ke87,Rejected (Time Limit),FALSE,27/06/2022
xrmwzqhf,,,Simple Link,,17,,questionnaire-ke87,Rejected (Time Limit),FALSE,27/06/2022
algkqhr8,,,Simple Link,,17,,,Complete,TRUE,27/06/2022
oxkrji0a,,,Simple Link,,17,,,Complete,TRUE,27/06/2022
ni8wvovr,,,Simple Link,,17,,,Complete,TRUE,27/06/2022
s85i7ter,,,Simple Link,,17,,questionnaire-vj1x,Rejected (Time Limit),FALSE,27/06/2022
5smrj4rn,,,Simple Link,,17,,questionnaire-f6gl,Rejected (Time Limit),TRUE,27/06/2022
msmegtp4,,,Simple Link,,17,,questionnaire-vj1x,Rejected (Time Limit),FALSE,27/06/2022
hl7wulq5,,,Simple Link,,17,,questionnaire-ke87,Rejected (Time Limit),FALSE,27/06/2022
7pzliqys,,,Simple Link,,17,,,Complete,TRUE,27/06/2022
4uy10e9q,,,Simple Link,,17,,,Complete,TRUE,27/06/2022
w8qz5u2g,,,Simple Link,,17,,,Complete,TRUE,28/06/2022
0zcyzlbd,,,Simple Link,,17,,questionnaire-f6gl,Rejected (Time Limit),TRUE,28/06/2022
bpoifqaa,,,Simple Link,,17,,,Complete,TRUE,28/06/2022
x5slvh66,,,Simple Link,,17,,questionnaire-gh7i,Rejected (Time Limit),TRUE,29/06/2022
j1ldaydv,,,Simple Link,,17,,,Complete,TRUE,29/06/2022
iujwg0h3,,,Simple Link,,17,,questionnaire-f6gl,Rejected (Time Limit),TRUE,04/07/2022
kgwxax80,,,Simple Link,,17,,questionnaire-ke87,Rejected (Time Limit),FALSE,06/07/2022
zxb1dkzw,,,Simple Link,,17,,questionnaire-vj1x,Rejected (Time Limit),FALSE,06/07/2022
1fxxu0af,,,Simple Link,,17,,questionnaire-vj1x,Rejected (Time Limit),FALSE,22/08/2022
a17laepq,,,Simple Link,,17,,questionnaire-vj1x,Rejected (Time Limit),FALSE,29/08/2022
jce9sx93,,,Simple Link,,17,,questionnaire-vj1x,Rejected (Time Limit),FALSE,29/08/2022
wx8jtg62,,,Simple Link,,17,,questionnaire-ke87,Rejected (Time Limit),FALSE,29/08/2022
ekux6get,,,Simple Link,,17,,questionnaire-vj1x,Rejected (Time Limit),FALSE,29/08/2022
aqiml1cz,,,Simple Link,,17,,questionnaire-f6gl,Rejected (Manual),FALSE,11/10/2022
c95avb19,,,Simple Link,,18,,task-alqm,Rejected (Manual),FALSE,11/10/2022
8c5eov0i,,,Simple Link,,18,,task-alqm,Rejected (Time Limit),FALSE,11/10/2022
4of29cmm,,,Simple Link,,19,,task-alqm,Rejected (Time Limit),FALSE,12/10/2022
a47exwms,,,Simple Link,,20,,task-alqm,Rejected (Time Limit),FALSE,12/10/2022
rrassz9o,,,Simple Link,,20,,questionnaire-9tww,Rejected (Manual),FALSE,12/10/2022
o16m30sc,,,Simple Link,,21,,task-alqm,Rejected (Manual),FALSE,12/10/2022
mhevs6au,,,Simple Link,,22,,questionnaire-ur4k,Rejected (Time Limit),FALSE,14/10/2022
2yz8ai51,,,Simple Link,,23,,questionnaire-ur4k,Rejected (Time Limit),FALSE,14/10/2022
eedajwwl,,,Simple Link,,24,,questionnaire-ur4k,Rejected (Manual),FALSE,14/10/2022
Clara,,,Pilot,,41,,questionnaire-5yii,Rejected (Manual),FALSE,16/05/2024
ppp,,,Pilot,,41,Demographics,,Rejected,FALSE,17/05/2024
ööö,,,Pilot,,41,Origin & authenticity male vs. female,questionnaire-ry6q,Rejected (Time Limit),FALSE,17/05/2024
mmm,,,Pilot,,43,Consent given,task-e2ty,Rejected (Time Limit),FALSE,22/05/2024
mmmm,,,Pilot,,43,Origin & authenticity female,questionnaire-ry6q,Rejected (Time Limit),FALSE,22/05/2024
Susumu1,,,Pilot,,44,Demographics,,Rejected,FALSE,22/05/2024
agnes_01,,,Pilot,,44,Demographics,,Rejected,FALSE,22/05/2024
xx,,,Pilot,,44,Consent given,task-7zxn,Rejected (Time Limit),FALSE,22/05/2024
Clara02,,,Pilot,,45,Consent given,task-9knq,Rejected (Manual),FALSE,23/05/2024
Susumu2,,,Pilot,,45,Consent given,task-e2ty,Rejected (Time Limit),FALSE,24/05/2024
Vera,,,Pilot,,46,Consent given,task-e2ty,Rejected (Time Limit),FALSE,25/05/2024
Vera2,,,Pilot,,46,Consent given,task-hwq3,Rejected (Time Limit),FALSE,25/05/2024
Vera3,,,Pilot,,46,Consent given,task-9knq,Rejected (Time Limit),FALSE,25/05/2024
Diego_SafariMacOS,,,Pilot,,46,Demographics,,Rejected,FALSE,29/05/2024
Diego_ChromeMacOS,,,Pilot,,46,Consent given,task-32sr,Rejected (Time Limit),FALSE,29/05/2024
Diego_Chorme_testingButtons,,,Pilot,,46,Consent given,task-b3rl,Rejected (Time Limit),FALSE,29/05/2024
Diego_Chorme_testingButtons2,,,Pilot,,46,Consent given,task-rvvi,Rejected (Time Limit),FALSE,29/05/2024
Clara24-06,,,Pilot,,51,Audio check male,,Rejected,FALSE,24/06/2024
Clara26-06#2,,,Pilot,,52,Audio check male,,Rejected,FALSE,24/06/2024
Jana,,,Pilot,,55,End study,,Complete,TRUE,25/06/2024
Florian,,,Pilot,,55,End study,,Complete,TRUE,25/06/2024
280475315358929,,,Third Party,,59,Audio check male vs. female,,Rejected,FALSE,01/07/2024
280475315358931,,,Third Party,,59,End study,,Complete,TRUE,01/07/2024
280560572370170,,,Third Party,,59,End study,,Complete,TRUE,02/07/2024
280560572377190,,,Third Party,,59,End study,,Complete,TRUE,02/07/2024
280560572503237,,,Third Party,,59,End study,,Complete,TRUE,02/07/2024
280560572371991,,,Third Party,,59,End study,,Complete,TRUE,02/07/2024
280560572515517,,,Third Party,,59,End study,,Complete,TRUE,02/07/2024
280560572384508,,,Third Party,,59,Consent given,task-7qjh,Rejected (Time Limit),FALSE,02/07/2024
280560572508197,,,Third Party,,59,End study,,Complete,TRUE,02/07/2024
280560572506129,,,Third Party,,59,End study,,Complete,TRUE,02/07/2024
280560572378257,,,Third Party,,59,Demographics,task-q8b2,Rejected (Time Limit),FALSE,02/07/2024
280560572529695,,,Third Party,,59,Audio evaluation male vs. female,,Rejected,FALSE,02/07/2024
280560572375091,,,Third Party,,59,End study,,Complete,TRUE,02/07/2024
280560572377195,,,Third Party,,59,End study,,Complete,TRUE,02/07/2024
280560572525740,,,Third Party,,59,End study,,Complete,TRUE,02/07/2024
280560572376142,,,Third Party,,59,End study,,Complete,TRUE,02/07/2024
280560572412036,,,Third Party,,59,Consent given,task-ia81,Rejected (Time Limit),FALSE,02/07/2024
280560572504287,,,Third Party,,59,Audio check male vs. female,task-mdix,Rejected (Time Limit),FALSE,02/07/2024
280560572505330,,,Third Party,,59,End study,,Complete,TRUE,02/07/2024
280560572413097,,,Third Party,,59,End study,,Complete,TRUE,02/07/2024
280560572406004,,,Third Party,,59,Consent given,task-tole,Rejected (Time Limit),FALSE,02/07/2024
280560572521547,,,Third Party,,59,End study,,Rejected (Time Limit),FALSE,02/07/2024
280560572509253,,,Third Party,,59,End study,,Complete,TRUE,02/07/2024
280560572508207,,,Third Party,,59,End study,,Complete,TRUE,02/07/2024
280560572411005,,,Third Party,,59,End study,,Complete,TRUE,02/07/2024
280560572510286,,,Third Party,,59,Audio check male vs. female,task-mdix,Rejected (Time Limit),FALSE,02/07/2024
280560572510294,,,Third Party,,59,End study,,Complete,TRUE,02/07/2024
280560572509255,,,Third Party,,59,End study,,Complete,TRUE,02/07/2024
280560572378235,,,Third Party,,59,Demographics,task-q8b2,Rejected (Time Limit),FALSE,02/07/2024
280560572375104,,,Third Party,,59,End study,,Complete,TRUE,02/07/2024
280560572502199,,,Third Party,,59,Audio check female,task-v697,Rejected (Time Limit),FALSE,02/07/2024
280560572502209,,,Third Party,,59,End study,,Complete,TRUE,02/07/2024
280560572506119,,,Third Party,,59,Audio check male,task-ue28,Rejected (Time Limit),FALSE,02/07/2024
280560572510304,,,Third Party,,59,End study,,Complete,TRUE,02/07/2024
280560572533897,,,Third Party,,59,End study,,Complete,TRUE,02/07/2024
280560572528894,,,Third Party,,59,End study,,Complete,TRUE,02/07/2024
280560572377184,,,Third Party,,59,End study,,Complete,TRUE,02/07/2024
280560572370954,,,Third Party,,59,End study,,Complete,TRUE,02/07/2024
280560572503248,,,Third Party,,59,End study,,Complete,TRUE,02/07/2024
280560572374056,,,Third Party,,59,Audio check male,task-ue28,Rejected (Time Limit),FALSE,02/07/2024
280560572517622,,,Third Party,,59,End study,,Complete,TRUE,02/07/2024
280560572532831,,,Third Party,,59,End study,,Complete,TRUE,02/07/2024
280560572379301,,,Third Party,,59,Audio check female,task-v697,Rejected (Time Limit),FALSE,02/07/2024
280560572521558,,,Third Party,,59,End study,,Complete,TRUE,02/07/2024
280560572525756,,,Third Party,,59,End study,,Complete,TRUE,02/07/2024
280560572508198,,,Third Party,,59,End study,,Complete,TRUE,02/07/2024
280560572377202,,,Third Party,,59,End study,,Complete,TRUE,03/07/2024
280560572378237,,,Third Party,,59,End study,,Complete,TRUE,03/07/2024
280560572377188,,,Third Party,,59,End study,,Complete,TRUE,03/07/2024
280560572386356,,,Third Party,,59,End study,,Complete,TRUE,03/07/2024
280560572514485,,,Third Party,,59,Audio check male,task-ue28,Live,FALSE,03/07/2024
280560572506123,,,Third Party,,59,Consent given,task-tole,Live,FALSE,03/07/2024
280560572379287,,,Third Party,,59,Audio evaluation female,task-8u1p,Live,FALSE,03/07/2024
